name,type,categories,hasPublishedVersions,marketingDescription,marketingDisplayName,marketingCaption,marketingDefaultImageTitle,marketingDefaultImageContent,marketingDefaultImageType,supportedCurrencies,billingMode,features,skus,addOns,customFields,supportPlans,isSharedProduct,etag,tagsValues,createTime,updateTime
accounts/10008/products/Microsoft365EandFNCE-appnce,SUBSCRIPTION_PRODUCT,['accounts/10008/categories/NCE'],true,"Connect and empower every employee, from the office to the frontline worker, with a Microsoft 365 solution that enhances productivity and drives innovation.",Microsoft 365,Transform your enterprise with Microsoft 365,Logo,https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/Microsoft365EandFNCE-appnce/images/20230910-131546-2d4fcd8c/logo.png,MEDIA_TYPE_IMAGE,"['USD','AUD']",POSTPAY,"[{'id':'Web-and-mobile-versions-of-Offic','displayName':'Web and mobile versions of Office apps'},{'id':'Email-and-calendaring','displayName':'Email and calendaring'},{'id':'File-storage-and-sharing','displayName':'File storage and sharing'},{'id':'Security-and-compliance','displayName':'Security and compliance'},{'id':'Support-and-deployment','displayName':'Support and deployment'},{'id':'Tools-to-build-and-manage-your-b','displayName':'Tools to build and manage your business'},{'id':'Desktop-versions-of-Office-apps-','displayName':'Desktop versions of Office apps for PC and Mac'},{'id':'Advanced-threat-protection','displayName':'Advanced threat protection'},{'id':'PC-and-mobile-device-management','displayName':'PC and mobile device management'},{'id':'Advanced-Compliance','displayName':'Advanced Compliance'},{'id':'Information-protection','displayName':'Information protection'},{'id':'Threat-Protection','displayName':'Threat Protection'},{'id':'Identity-and-access-management','displayName':'Identity and access management'},{'id':'Advanced-analytics','displayName':'Advanced analytics'},{'id':'Minimum-Quantity','displayName':'Minimum Quantity'}]","[{'id':'Microsoft-365-Business-Basic-n0','displayName':'Microsoft 365 Business Basics','description':'Best for businesses that need professional email, cloud file storage, and online meetings & chat. Desktop versions of Office apps like Excel, Word, and PowerPoint not included. For businesses with up to 300 employees.','cancelTiming':'END_OF_TERM','availableAddOns':['IT-Genius-Basic-Support'],'features':[{'feature':'Web-and-mobile-versions-of-Offic'},{'feature':'Email-and-calendaring'}],'plans':[{'id':'Monthly-n13','displayName':'Microsoft 365 Business Basics','billingPeriod':'MONTHLY','phases':[{'duration':{'unit':'MONTH','count':1},'type':'TRIAL_PHASE'},{'type':'UNLIMITED_PHASE','recurringPrice':{'AUD':9.9,'USD':0}}],'icon':'https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/Microsoft365EandFNCE-appnce/images/20230910-131546-f3485ad9/sku_Microsoft-365-Business-Basic-n0_plan_Monthly-n13_icon.png','productId':'US,CFQ7TTC0LH18,0001,One-Month commitment for monthly billing','supportPlan':{}}],'productId':'AU,CFQ7TTC0LH18,0001','productCloudProviderName':'accounts/10001/cloudProviders/30','verticals':['accounts/10001/verticals/Corporate'],'disabled':true},{'id':'Microsoft-365-Business-Standa-n2','displayName':'Microsoft 365 Business Standard','description':'Best for businesses that need Office apps across devices plus professional email, cloud file storage, and online meetings & chat. For businesses with up to 300 employees.','cancelTiming':'END_OF_TERM','plans':[{'id':'Monthly-n18','displayName':'Monthly','billingPeriod':'MONTHLY','phases':[{'duration':{'unit':'MONTH','count':5},'type':'TRIAL_PHASE'},{'duration':{'unit':'MONTH','count':1},'type':'DISCOUNT_PHASE','recurringPrice':{'USD':1,'AUD':6}},{'duration':{'unit':'MONTH','count':1},'type':'FIXED_PHASE','recurringPrice':{'AUD':24.7,'USD':1}}],'icon':'https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/Microsoft365EandFNCE-appnce/images/20230910-131546-0f2a1cdc/sku_Microsoft-365-Business-Standa-n2_plan_Monthly-n18_icon.png','productId':'AU,CFQ7TTC0LDPB,0001,One-Month commitment for monthly billing','supportPlan':{}},{'id':'plan-1-Month-Free--10-Discoun-n0','displayName':'1 Month Free + 10% Discount forever','billingPeriod':'MONTHLY','phases':[{'duration':{'unit':'MONTH','count':1},'type':'TRIAL_PHASE'},{'duration':{'unit':'YEAR','count':999},'type':'DISCOUNT_PHASE','recurringPrice':{'AUD':18,'USD':18}},{'type':'UNLIMITED_PHASE','recurringPrice':{'AUD':20,'USD':20}}],'supportPlan':{}}],'productId':'AU,CFQ7TTC0LDPB,0001','productCloudProviderName':'accounts/10001/cloudProviders/30','verticals':['accounts/10001/verticals/Corporate']},{'id':'Microsoft-365-Business-Premium','displayName':'Microsoft 365 Business Premium','description':'Microsoft 365 Business Premium','cancelTiming':'END_OF_TERM','features':[{'feature':'Web-and-mobile-versions-of-Offic'},{'feature':'Email-and-calendaring'},{'feature':'File-storage-and-sharing'},{'feature':'Security-and-compliance'},{'feature':'Support-and-deployment'},{'feature':'Tools-to-build-and-manage-your-b'},{'feature':'Desktop-versions-of-Office-apps-'},{'feature':'Advanced-threat-protection'},{'feature':'PC-and-mobile-device-management'},{'feature':'Advanced-Compliance'},{'feature':'Information-protection'},{'feature':'Threat-Protection'},{'feature':'Identity-and-access-management'},{'feature':'Advanced-analytics'},{'feature':'Minimum-Quantity'}],'plans':[{'id':'Premium-monthly','displayName':'Premium monthly','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'AUD':39,'USD':39}}],'supportPlan':{}}],'productId':'AU,CFQ7TTC0LCHC,0001'}]","[{'id':'IT-Genius-Basic-Support','displayName':'IT Genius Basic Support','description':'Provides a range of Support services','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'IT-Genius-Basic-Support-n0','displayName':'IT Genius Basic Support','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'AUD':275,'USD':1}}],'supportPlan':{}}],'productId':'34r','icon':'https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/Microsoft365EandFNCE-appnce/images/20231117-080608-440e861b/image__5__1.png','productCloudProviderName':'accounts/10001/cloudProviders/30'}]","[{'name':'vendor','content':'MICROSOFT','type':'STRING'},{'name':'ProvisioningCategory','content':'NCE','type':'STRING'}]","[{'name':'accounts/10001/charges/397','default':true,'id':'397','displayName':'Charge Test'},{'name':'accounts/10001/charges/401','id':'401','displayName':'TestDiscount'}]",true,MTcxMTAyMzkyNQ==,,2023-09-10T13:16:37Z,2024-03-21T12:25:25Z
accounts/10001/products/GoogleWorkspace-app,SUBSCRIPTION_PRODUCT,['accounts/10001/categories/Google'],true,"A flexible, innovative solution for people and organizations to achieve more.",Google Workspace Business,"How teams of all sizes connect, create, and collaborate.",Logo,https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/GoogleWorkspace-app/images/20230910-131947-3b7ddec0/logo.png,MEDIA_TYPE_IMAGE,['USD'],POSTPAY,"[{'id':'Custom-and-secure-business-email','displayName':'Custom and secure business email'},{'id':'feature-100-participant-video-n0','displayName':'100 participant video meetings'},{'id':'feature-30-GB-storage-per-use-n0','displayName':'30 GB storage per user'},{'id':'Security-and-management-controls','displayName':'Security and management controls'},{'id':'Standard-Support','displayName':'Standard Support'},{'id':'feature-150-participant-video-n0','displayName':'150 participant video meetings + recording'},{'id':'feature-2-TB-storage-per-user-n0','displayName':'2 TB storage per user*'},{'id':'Security-and-management-contr-n0','displayName':'Security and management controls'},{'id':'Standard-Support-paid-upgrade-to','displayName':'Standard Support (paid upgrade to Enhanced Support)'},{'id':'Custom-and-secure-business-em-n0','displayName':'Custom and secure business email + eDiscovery, retention'},{'id':'feature-500-participant-video-n0','displayName':'500 participant video meetings + recording, attendance tracking'},{'id':'feature-5-TB-storage-per-user-n0','displayName':'5 TB storage per user*'},{'id':'Enhanced-security-and-management','displayName':'Enhanced security and management controls, including Vault and advanced endpoint management'},{'id':'Standard-Support-paid-upgrade-n0','displayName':'Standard Support (paid upgrade to Enhanced Support)'}]","[{'id':'Google-Workspace-Business-Standa','displayName':'Google Workspace Business Standard (Monthly)','description':'Google Workspace Business Standard (Monthly)','cancelTiming':'END_OF_TERM','availableAddOns':['AppSheet-Core-Additional-Serv-n0','AppSheet-Core-Additional-Service'],'features':[{'feature':'Custom-and-secure-business-email'},{'feature':'feature-150-participant-video-n0'},{'feature':'feature-2-TB-storage-per-user-n0'},{'feature':'Security-and-management-contr-n0'},{'feature':'Standard-Support-paid-upgrade-to'}],'plans':[{'id':'Flexible-Plan-n2','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':16.8}}],'icon':'https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/GoogleWorkspace-app/images/20230910-131947-a125c3a5/sku_Google-Workspace-Business-Standa_plan_Flexible-Plan-n2_icon.png','productId':'STk1PpKM3NcK9n,after-12-months','supportPlan':{}}],'productCloudProviderName':'accounts/10001/cloudProviders/19'},{'id':'Google-Workspace-Business-Starte','displayName':'Google Workspace Business Starter (Monthly)','description':'Google Workspace Business Starter (Monthly)','cancelTiming':'END_OF_TERM','availableAddOns':['IT-Genius-Basic-Support','AppSheet-Core-Additional-Serv-n0','Google-Drive-storage---8-TB','Google-Drive-storage---50-GB','Google-Drive-storage---400-GB','Google-Drive-storage---4-TB','Google-Drive-storage---200-GB','Google-Drive-storage---20-GB','Google-Drive-storage---2-TB','Google-Drive-storage--16-TB','Google-Drive-storage---1-TB','AppSheet-Core-Additional-Service'],'features':[{'feature':'Custom-and-secure-business-email'},{'feature':'feature-100-participant-video-n0'},{'feature':'feature-30-GB-storage-per-use-n0'},{'feature':'Security-and-management-controls'},{'feature':'Standard-Support'}],'plans':[{'id':'Flexible-Plan-n3','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':8.4}}],'icon':'https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/GoogleWorkspace-app/images/20230910-131947-fa08e4ba/sku_Google-Workspace-Business-Starte_plan_Flexible-Plan-n3_icon.png','productId':'SH7fHKfyePlNPV,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/10001/cloudProviders/19'},{'id':'Google-Workspace-Business-Plu-n4','displayName':'Google Workspace Business Plus','description':'Google Workspace Business Plus','cancelTiming':'END_OF_TERM','features':[{'feature':'Custom-and-secure-business-email'},{'feature':'feature-100-participant-video-n0'},{'feature':'feature-30-GB-storage-per-use-n0'},{'feature':'Security-and-management-controls'},{'feature':'Standard-Support'},{'feature':'feature-150-participant-video-n0'},{'feature':'feature-2-TB-storage-per-user-n0'},{'feature':'Security-and-management-contr-n0'},{'feature':'Standard-Support-paid-upgrade-to'},{'feature':'Custom-and-secure-business-em-n0'},{'feature':'feature-500-participant-video-n0'},{'feature':'feature-5-TB-storage-per-user-n0'},{'feature':'Enhanced-security-and-management'},{'feature':'Standard-Support-paid-upgrade-n0'}],'plans':[{'id':'Monthly','displayName':'Monthly','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':30}}],'supportPlan':{}}]}]","[{'id':'AppSheet-Core-Additional-Service','displayName':'AppSheet Core (Addl Service) - Annual Plan (Monthly Payment)-old','description':'Annual Plan (Monthly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Monthly-Payment-n8','displayName':'Annual Plan (Monthly Payment)','billingPeriod':'MONTHLY','phases':[{'duration':{'unit':'MONTH','count':12},'type':'FIXED_PHASE','recurringPrice':{'USD':0}}],'productId':'SZ2mEIPCZtjq5p,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'Google-Drive-storage---1-TB','displayName':'Google Drive storage - 1 TB','description':'Google Drive storage - 1 TB','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n7','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'UBBO4P45YQYXyJ,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'Google-Drive-storage--16-TB','displayName':'Google Drive storage -16 TB','description':'Google Drive storage -16 TB','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n8','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'UYErgygGmKlvvp,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'Google-Drive-storage---2-TB','displayName':'Google Drive storage - 2 TB','description':'Google Drive storage - 2 TB','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n9','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'U82W4M45NGjr6W,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'Google-Drive-storage---20-GB','displayName':'Google Drive storage - 20 GB','description':'Google Drive storage - 20 GB','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n10','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'Uo28LjLql7q2jN,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'Google-Drive-storage---200-GB','displayName':'Google Drive storage - 200 GB','description':'Google Drive storage - 200 GB','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n11','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'U73Y4p45BE5P6A,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'Google-Drive-storage---4-TB','displayName':'Google Drive storage - 4 TB','description':'Google Drive storage - 4 TB','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n12','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'UPNg4z4vqV4KX6,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'Google-Drive-storage---400-GB','displayName':'Google Drive storage - 400 GB','description':'Google Drive storage - 400 GB','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n13','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'UpYBMkM0DK1G0m,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'Google-Drive-storage---50-GB','displayName':'Google Drive storage - 50 GB','description':'Google Drive storage - 50 GB','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n14','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'UjR5D0Dlw6B2XB,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'Google-Drive-storage---8-TB','displayName':'Google Drive storage - 8 TB','description':'Google Drive storage - 8 TB','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n15','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'UNkX4Y4qBByD9N,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'GWS-Business-Plus---Archived-Use','displayName':'GWS Business Plus - Archived User - Flexible Plan-old','description':' Flexible Plan','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n16','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'S9SEQzjoRY3Srp,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'GWS-Business-Plus---Arch-User---','displayName':'GWS Business Plus - Arch. User - Ann. Plan (Yly Payment) - old','description':'Annual Plan (Yearly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Yearly-Payment-n12','displayName':'Annual Plan (Yearly Payment)','billingPeriod':'ANNUAL','phases':[{'duration':{'unit':'YEAR','count':1},'type':'FIXED_PHASE','recurringPrice':{'USD':0}}],'productId':'SdPWjuSEnfCYeQ,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'AppSheet-Core-Additional-Serv-n0','displayName':'AppSheet Core (Additional Service) - Flexible Plan-old','description':'Flexible Plan','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n17','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'SwBfFBxSkEtPag,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'AppSheet-Core-Addl-Service---Ann','displayName':'AppSheet Core (Addl Service) - Annual Plan (Yearly Payment)-old','description':'Annual Plan (Yearly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Yearly-Payment-n13','displayName':'Annual Plan (Yearly Payment)','billingPeriod':'ANNUAL','phases':[{'duration':{'unit':'YEAR','count':1},'type':'FIXED_PHASE','recurringPrice':{'USD':0}}],'productId':'S48BJFyNqFSr4g,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/2768/cloudProviders/19'},{'id':'AppSheet-Core-Addl-Service----n0','displayName':'AppSheet Core (Addl Service) - Annual Plan (Monthly Payment)','description':'Annual Plan (Monthly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Monthly-Payment-n27','displayName':'Annual Plan (Monthly Payment)','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'SqoRHRXwyiscyp,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'AppSheet-Core-Additional-Serv-n1','displayName':'AppSheet Core (Additional Service) - Flexible Plan','description':'Flexible Plan','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n33','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'ScQrPdp9PMy7EV,,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'AppSheet-Core-Addl-Service----n1','displayName':'AppSheet Core (Addl Service) - Annual Plan (Yearly Payment)','description':'Annual Plan (Yearly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Yearly-Payment-n5','displayName':'Annual Plan (Yearly Payment)','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'S0sc6kcVbE8l40,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'GWS-Business-Standard---Arch-Use','displayName':'GWS Business Standard - Arch. User - Ann. Plan (Mthly Payment)','description':'Annual Plan (Monthly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Monthly-Payment-n28','displayName':'Annual Plan (Monthly Payment)','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'S54kP1Vl8nN0Fg,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'GWS-Business-Standard---Archived','displayName':'GWS Business Standard - Archived User - Flexible Plan','description':' Flexible Plan','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n34','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'S6QuT2tGH8tXmM,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'GWS-Business-Plus---Arch-User-n0','displayName':'GWS Business Plus - Arch. User - Ann. Plan (Mthly Payment)','description':'Annual Plan (Monthly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Monthly-Payment-n29','displayName':'Annual Plan (Monthly Payment)','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'SngmtiToFScHHF,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'GWS-Business-Plus---Arch-User-n1','displayName':'GWS Business Plus - Arch. User - Ann. Plan (Yly Payment) ','description':'Annual Plan (Yearly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Yearly-Payment-n6','displayName':'Annual Plan (Yearly Payment)','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'SmftzyjMN6YDqz,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'GWS-Business-Plus---Arch-User--F','displayName':'GWS Business Plus - Arch. User -Flexible Plan','description':'Flexible Plan','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n35','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'S9pxZ5pEmYVFyE,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'GWS-Business-Standard---Arch--n0','displayName':'GWS Business Standard - Arch. User - Ann. Plan (Yly Payment) ','description':'Annual Plan (Yearly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Yearly-Payment-n7','displayName':'Annual Plan (Yearly Payment)','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'SOkQx0XCvppDIK,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'GWS-Business-Starter---Arch-User','displayName':'GWS Business Starter - Arch. User - Ann. Plan (Yly Pay) ','description':'Annual Plan (Yearly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Yearly-Payment-n8','displayName':'Annual Plan (Yearly Payment)','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'SxZ2OZ03ul9SMX,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'GWS-Business-Starter---Arch-U-n0','displayName':'GWS Business Starter - Arch. User - Ann. Plan (Mthly Pay) ','description':'Annual Plan (Monthly Payment)','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Annual-Plan-Monthly-Payment-n30','displayName':'Annual Plan (Monthly Payment)','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'SOypH9kYa6e2Ki,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'GWS-Business-Starter---Arch-U-n1','displayName':'GWS Business Starter - Arch. User - Flexible Plan','description':'Flexible Plan','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'Flexible-Plan-n36','displayName':'Flexible Plan','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'productId':'SGrOkbuYxULd3Y,after-0-months','supportPlan':{}}],'productCloudProviderName':'accounts/14/cloudProviders/19'},{'id':'IT-Genius-Basic-Support','displayName':'IT Genius Basic Support','description':'Provide a range Support services ','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','plans':[{'id':'IT-Genius-Basic-Support-n0','displayName':'IT Genius Basic Support','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'USD':0}}],'supportPlan':{}}],'productId':'24','icon':'https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/GoogleWorkspace-app/images/20231117-081448-39c37123/image__5__1.png','productCloudProviderName':'accounts/10001/cloudProviders/19'}]","[{'name':'ProductSpecTemplate','content':'GWS','type':'STRING'},{'name':'skip-price-book','content':'true','type':'STRING'},{'name':'ProvisioningCategory','content':'GOOGLE','type':'STRING'},{'name':'vendor','content':'Google','type':'STRING'}]",,true,MTcxMDE1MzU0Nw==,,2023-09-10T13:19:49Z,2024-03-11T10:39:07Z
accounts/10001/products/OneDrive-appnce,SUBSCRIPTION_PRODUCT,['accounts/10001/categories/NCE'],true,"Save your files and photos to OneDrive and access them from any device, anywhere.",OneDrive NCE,OneDrive Personal Cloud Storage,Logo,https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/OneDrive-appnce/images/20230910-131549-1fbd4ec1/logo.png,MEDIA_TYPE_IMAGE,"['USD','AUD']",POSTPAY,,"[{'id':'OneDrive-for-business-Plan','displayName':'OneDrive for business (Plan 1)','description':'File sharing and OneDrive storage','cancelTiming':'END_OF_TERM','plans':[{'id':'Monthly-Plan','displayName':'Monthly','billingPeriod':'MONTHLY','phases':[{'duration':{'unit':'MONTH','count':3},'type':'TRIAL_PHASE'},{'duration':{'unit':'YEAR','count':999},'type':'DISCOUNT_PHASE','recurringPrice':{'AUD':6.5,'USD':5}},{'duration':{'unit':'MONTH','count':1},'type':'FIXED_PHASE','recurringPrice':{'AUD':7.5,'USD':5.04}}],'icon':'https://storage.googleapis.com/optus-sit-data-public/data/accounts/10001/products_v2/OneDrive-appnce/images/20230910-131549-8b6ff846/sku_OneDrive-for-business-Plan_plan_Monthly-Plan_icon.png','productId':'US,CFQ7TTC0LHSV,0001,One-Month commitment for monthly billing','supportPlan':{}}],'productId':'US,CFQ7TTC0LHSV,0001','productCloudProviderName':'accounts/10001/cloudProviders/30','verticals':['accounts/10001/verticals/Corporate']},{'id':'OneDrive-for-business-Plan-n1','displayName':'OneDrive for business (Plan 2)','description':'OneDrive for business (Plan 2)','cancelTiming':'END_OF_TERM','plans':[{'id':'Monthly','displayName':'Monthly','billingPeriod':'MONTHLY','phases':[{'type':'UNLIMITED_PHASE','recurringPrice':{'AUD':7.5,'USD':7.5}}],'productId':'CFQ7TTC0LH1M','supportPlan':{}}]}]",,,,true,MTcxMDE1MzI5Mg==,,2023-09-10T13:16:38Z,2024-03-11T10:34:52Z
