id,customerId,resellerId,isvId,cloudProviderId,subscriptionId,subscriptionName,resourceType,ccpProductId,ccpSkuId,ccpPlanId,subscriptionProductId,subscriptionSkuId,subscriptionOfferId,subscriptionTotalLicenses,unitType,subscriptionStatus,subscriptionPurchasedDate,subscriptionStartDate,subscriptionEndDate,cancellationAllowedUntilDate,subscriptionBillingType,subscriptionBillingCycle,subscriptionBillingTerm,subscriptionRenewStatus,resellerPO,customerPO,ccpProductInfoProductId,ccpProductInfoProductDisplayName,ccpProductInfoSkuId,ccpProductInfoSkuDisplayName,ccpProductInfoPlanId,ccpProductInfoPlanDisplayName,autoRenew,customerName,partnerName,optusCompanyABN,optusCustomerACN,optusBillingAccountId,optusAccountStatus,optusCustomerId,optusFAId,optusContactId
640,10282,10008,10001,19,SpWQA2cJVHMIk7,Google Workspace Business Starter Annual Plan (Monthly Payment),GSUITE::Entitlement,,,,UADAVyrVqM6grP,SRRpRk3rG7zvB3,accounts/C029i6020/offers/SzwaTpsVJ0v4ZA,1,Licenses,suspended,2024-02-22T10:15:46.315Z,2024-03-11T09:16:38.695Z,2025-03-11T09:16:38.695Z,,license,monthly,P1Y,ENABLED,,,,,,,,,true,Aust Cust,Optus Reseller,,,,,,,
633,10283,10008,10001,30,410bbcca-08f5-4c0a-c4b1-d3ea9ce576a8,Microsoft 365 Business Standard,AZURE::Subscription,Microsoft365EandFNCE-appnce,Microsoft-365-Business-Standa-n2,Monthly-n18,CFQ7TTC0LDPB,0001,CFQ7TTC0LDPB:0001:CFQ7TTC0WN9J,5,Licenses,active,2024-02-14T05:27:36.830Z,2024-02-14T00:00:00Z,2024-04-13T00:00:00Z,2024-03-21T22:42:42.394Z,license,monthly,P1M,ENABLED,,,Microsoft365EandFNCE-appnce,Microsoft 365,Microsoft-365-Business-Standa-n2,Microsoft 365 Business Standard,Monthly-n18,Monthly,true,AP_IND_QA Testing,Optus Reseller,,optusACN,1234,,,,
641,10286,10008,10001,30,4aeec294-84f3-456c-d6a4-70f6cdc62fb6,Microsoft 365 Business Premium,AZURE::Subscription,,,,CFQ7TTC0LCHC,0002,CFQ7TTC0LCHC:0002:CFQ7TTC0X5VN,3,Licenses,active,2024-02-23T06:03:47.755Z,2024-02-23T00:00:00Z,2024-03-22T00:00:00Z,2024-03-01T06:04:31.313Z,license,monthly,P1M,DISABLED,,,,,,,,,,AP_IND_AUS_check,Optus Reseller,Tree,,,,,,
639,10416,10008,10001,30,67b5deb2-4264-4739-d44b-6fc484a19d51,Microsoft 365 Business Basic,AZURE::Subscription,Microsoft365EandFNCE-appnce,Microsoft-365-Business-Basic-n0,Monthly-n13,CFQ7TTC0LH18,0001,CFQ7TTC0LH18:0001:CFQ7TTC0NPW0,1,Licenses,active,2024-02-21T06:56:39.015Z,2024-02-21T00:00:00Z,2024-04-20T00:00:00Z,2024-03-28T04:54:01.348Z,license,monthly,P1M,ENABLED,,,Microsoft365EandFNCE-appnce,Microsoft 365,Microsoft-365-Business-Basic-n0,Microsoft 365 Business Basics,Monthly-n13,Microsoft 365 Business Basics,true,Max fury,Optus Reseller,,,,,,,
647,10451,10001,10008,30,147b6256-9631-474b-cfe9-561dbf1520bd,Microsoft 365 Business Standard,AZURE::Subscription,Microsoft365EandFNCE-appnce,Microsoft-365-Business-Standa-n2,Monthly-n18,CFQ7TTC0LDPB,0001,CFQ7TTC0LDPB:0001:CFQ7TTC0WRZ7,1,Licenses,active,2024-02-26T15:34:56.283Z,2024-02-26T00:00:00Z,2024-03-25T00:00:00Z,2024-03-04T15:35:48.741Z,license,monthly,P1M,ENABLED,,,Microsoft365EandFNCE-appnce,Microsoft 365,Microsoft-365-Business-Standa-n2,Microsoft 365 Business Standard,Monthly-n18,Monthly,true,Optus Test Customer,QA_ORGANISATION,,,,,,,
666,10485,10001,10008,30,a32c3e8b-7372-4f70-dd36-4cf774d87df4,Microsoft 365 Business Standard,AZURE::Subscription,Microsoft365EandFNCE-appnce,Microsoft-365-Business-Standa-n2,Monthly-n18,CFQ7TTC0LDPB,0001,CFQ7TTC0LDPB:0001:CFQ7TTC0WW4K,3,Licenses,active,2024-03-05T09:55:23.957Z,2024-03-05T00:00:00Z,2024-04-04T00:00:00Z,2024-03-12T09:56:17.917Z,license,monthly,P1M,ENABLED,,,Microsoft365EandFNCE-appnce,Microsoft 365,Microsoft-365-Business-Standa-n2,Microsoft 365 Business Standard,Monthly-n18,Monthly,true,App_IND_QAtest,QA_ORGANISATION,,,,,,,
668,10485,10001,10008,30,411b8481-6647-43de-d2f7-5c4a061ce86d,Microsoft 365 Business Standard,AZURE::Subscription,Microsoft365EandFNCE-appnce,Microsoft-365-Business-Standa-n2,Monthly-n18,CFQ7TTC0LDPB,0001,CFQ7TTC0LDPB:0001:CFQ7TTC0WW4K,1,Licenses,active,2024-03-05T12:12:31.142Z,2024-03-05T00:00:00Z,2024-04-04T00:00:00Z,2024-03-12T12:13:26.599Z,license,monthly,P1M,ENABLED,,,Microsoft365EandFNCE-appnce,Microsoft 365,Microsoft-365-Business-Standa-n2,Microsoft 365 Business Standard,Monthly-n18,Monthly,true,App_IND_QAtest,QA_ORGANISATION,,,,,,,
688,10485,10001,10008,30,a6ee5aa1-a840-4816-d7eb-9416f1dc7a7b,Microsoft 365 Business Standard,AZURE::Subscription,Microsoft365EandFNCE-appnce,Microsoft-365-Business-Standa-n2,Monthly-n18,CFQ7TTC0LDPB,0001,CFQ7TTC0LDPB:0001:CFQ7TTC0WN9J,1,Licenses,active,2024-03-13T07:01:09.949Z,2024-03-13T00:00:00Z,2024-04-12T00:00:00Z,2024-03-20T07:01:55.401Z,license,monthly,P1M,ENABLED,,,Microsoft365EandFNCE-appnce,Microsoft 365,Microsoft-365-Business-Standa-n2,Microsoft 365 Business Standard,Monthly-n18,Monthly,true,App_IND_QAtest,QA_ORGANISATION,,,,,,,
692,10485,10001,10008,30,878c7297-be21-49c8-d789-0ce73f07070f,Microsoft 365 Business Standard,AZURE::Subscription,Microsoft365EandFNCE-appnce,Microsoft-365-Business-Standa-n2,Monthly-n18,CFQ7TTC0LDPB,0001,CFQ7TTC0LDPB:0001:CFQ7TTC0WN9J,4,Licenses,active,2024-03-13T12:03:17.261Z,2024-03-13T00:00:00Z,2024-04-12T00:00:00Z,2024-03-20T12:04:01.341Z,license,monthly,P1M,ENABLED,,,Microsoft365EandFNCE-appnce,Microsoft 365,Microsoft-365-Business-Standa-n2,Microsoft 365 Business Standard,Monthly-n18,Monthly,true,App_IND_QAtest,QA_ORGANISATION,,,,,,,
