name,type,categories,hasPublishedVersions,marketingDescription,marketingDisplayName,marketingCaption,marketingDefaultImageTitle,marketingDefaultImageContent,marketingDefaultImageType,supportedCurrencies,billingMode,features,skus,addOns,customFields,supportPlans,isSharedProduct,etag,tagsValues,createTime,updateTime
accounts/11341/products/gws,SUBSCRIPTION_PRODUCT,['accounts/11341/categories/Google'],true,"A flexible, innovative solution for people and organizations to achieve more.",Google Workspace Business,"How teams of all sizes connect, create, and collaborate.",Logo,https://storage.googleapis.com/orbitera-qa-us-data-public/data/accounts/11341/products_v2/gws/images/20240319-111334-1780412a/free-google-docs-2923655-2416658.webp,MEDIA_TYPE_IMAGE,['AUD'],POSTPAY,"[{'id':null,'displayName':null,'displayValue':null,'description':null}]","[{'id':'Business-Standard','displayName':'Business Standard','description':'Business Standard','cancelTiming':'END_OF_TERM','includedAddOns':null,'availableAddOns':null,'features':[{'id':null,'displayName':null,'displayValue':null,'description':null}],'plans':[{'id':'Google-Flexible-Plan','displayName':'Google Flexible Plan','billingPeriod':'MONTHLY','approvalRequired':null,'phases':[{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'TRIAL_PHASE','fixedPrice':null,'recurringPrice':null,'usages':null},{'duration':{'unit':null,'count':null,'unlimited':null},'type':'UNLIMITED_PHASE','fixedPrice':null,'recurringPrice':{'AUD':16},'usages':null}],'icon':null,'productId':'STk1PpKM3NcK9n,after-12-months','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}}],'taxCode':null,'productId':null,'productCloudProviderName':'accounts/11341/cloudProviders/19','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'verticals':null,'disabled':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlans':[{'name':null,'plansId':null,'displayName':null,'default':null}]},{'id':'Business-Starter','displayName':'Business Starter','description':'Business Starter','cancelTiming':'END_OF_TERM','includedAddOns':null,'availableAddOns':null,'features':[{'id':null,'displayName':null,'displayValue':null,'description':null}],'plans':[{'id':'Flexible-Plan','displayName':'Flexible Plan','billingPeriod':'MONTHLY','approvalRequired':null,'phases':[{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'TRIAL_PHASE','fixedPrice':null,'recurringPrice':null,'usages':null},{'duration':{'unit':null,'count':null,'unlimited':null},'type':'UNLIMITED_PHASE','fixedPrice':null,'recurringPrice':{'AUD':8.4},'usages':null}],'icon':null,'productId':'SH7fHKfyePlNPV,after-0-months','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}}],'taxCode':null,'productId':null,'productCloudProviderName':'accounts/11341/cloudProviders/19','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'verticals':null,'disabled':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlans':[{'name':null,'plansId':null,'displayName':null,'default':null}]},{'id':'Business-Plus','displayName':'Google Workspace Business Plus','description':'Google Workspace Business Plus','cancelTiming':'END_OF_TERM','includedAddOns':null,'availableAddOns':null,'features':[{'id':null,'displayName':null,'displayValue':null,'description':null}],'plans':[{'id':'Monthly','displayName':'Business Plus (Monthly)','billingPeriod':'MONTHLY','approvalRequired':null,'phases':[{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'TRIAL_PHASE','fixedPrice':null,'recurringPrice':null,'usages':null},{'duration':{'unit':null,'count':null,'unlimited':null},'type':'UNLIMITED_PHASE','fixedPrice':null,'recurringPrice':{'AUD':30},'usages':null}],'icon':null,'productId':'SmUVtmPdz47GGi,after-0-months','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}}],'taxCode':null,'productId':null,'productCloudProviderName':'accounts/11341/cloudProviders/19','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'verticals':null,'disabled':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlans':[{'name':null,'plansId':null,'displayName':null,'default':null}]}]","[{'id':null,'displayName':null,'description':null,'alignment':null,'cancelTiming':null,'allowMultiple':null,'plans':[{'id':null,'displayName':null,'billingPeriod':null,'approvalRequired':null,'phases':[{'duration':{'unit':null,'count':null,'unlimited':null},'type':null,'fixedPrice':null,'recurringPrice':null,'usages':null}],'icon':null,'productId':null,'pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':null}],'taxCode':null,'productId':null,'pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'icon':null,'productCloudProviderName':null,'pricebookMasterPrice':null,'pricebookDetails':null}]","[{'name':'OfferDescriptionPromo','content':'Month(s) on us','type':'STRING','filename':null},{'name':'OfferDescriptionRegular','content':'10%','type':'STRING','filename':null},{'name':'enableITGSupportPlan','content':'true','type':'STRING','filename':null},{'name':'basicITGProductRef','content':'ITGSupport','type':'STRING','filename':null},{'name':'basicITGPlanRef','content':'Cloud-Concierge-Basic-Support-n0','type':'STRING','filename':null}]","[{'name':null,'plansId':null,'displayName':null,'default':null}]",,MTcxMjgzNjgwNg==,"[{'name':null,'displayName':null,'values':[{'displayName':null,'tagValue':null}]}]",2024-03-19T11:13:37Z,2024-04-11T12:00:06Z
accounts/11341/products/Microsoft365,SUBSCRIPTION_PRODUCT,['accounts/11341/categories/NCE'],true,"Connect and empower every employee, from the office to the frontline worker, with a Microsoft 365 solution that enhances productivity and drives innovation.",Microsoft 365,Transform your enterprise with Microsoft 365,Logo,https://storage.googleapis.com/orbitera-qa-us-data-public/data/accounts/11341/products_v2/Microsoft365/images/20240319-110358-4a7bc9ea/Microsoft_logo__2012_.svg.png,MEDIA_TYPE_IMAGE,['AUD'],POSTPAY,"[{'id':'Free-add-ons','displayName':'Free add-ons','displayValue':null,'description':null}]","[{'id':'Business-Basics','displayName':'Business Basics  SKU 27/mar','description':'Business Basics','cancelTiming':'END_OF_TERM','includedAddOns':null,'availableAddOns':null,'features':[{'id':null,'displayName':null,'displayValue':null,'description':null}],'plans':[{'id':'plan-1-month-on-us-n0','displayName':'1 month on us','billingPeriod':'MONTHLY','approvalRequired':null,'phases':[{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'TRIAL_PHASE','fixedPrice':null,'recurringPrice':null,'usages':null},{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'FIXED_PHASE','fixedPrice':null,'recurringPrice':{'AUD':9},'usages':null}],'icon':null,'productId':'AU,CFQ7TTC0LH18,0001,One-Month commitment for monthly billing','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}}],'taxCode':null,'productId':'AU,CFQ7TTC0LH18,0001','productCloudProviderName':'accounts/11341/cloudProviders/30','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'verticals':null,'disabled':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlans':[{'name':null,'plansId':null,'displayName':null,'default':null}]},{'id':'Business-Standard','displayName':'Business Standard','description':'Business Standard','cancelTiming':'END_OF_TERM','includedAddOns':null,'availableAddOns':null,'features':[{'id':null,'displayName':null,'displayValue':null,'description':null}],'plans':[{'id':'Monthly','displayName':'Monthly','billingPeriod':'MONTHLY','approvalRequired':null,'phases':[{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'TRIAL_PHASE','fixedPrice':null,'recurringPrice':null,'usages':null},{'duration':{'unit':null,'count':null,'unlimited':null},'type':'UNLIMITED_PHASE','fixedPrice':null,'recurringPrice':{'AUD':24},'usages':null}],'icon':null,'productId':'AU,CFQ7TTC0LDPB,0001,One-Month commitment for monthly billing','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}}],'taxCode':null,'productId':'AU,CFQ7TTC0LDPB,0001','productCloudProviderName':'accounts/11341/cloudProviders/30','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'verticals':null,'disabled':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlans':[{'name':null,'plansId':null,'displayName':null,'default':null}]},{'id':'Business-Premium','displayName':'Business Premium','description':'Business Premium','cancelTiming':'END_OF_TERM','includedAddOns':null,'availableAddOns':null,'features':[{'id':null,'displayName':null,'displayValue':null,'description':null}],'plans':[{'id':'Premium-monthly','displayName':'Premium monthly','billingPeriod':'MONTHLY','approvalRequired':null,'phases':[{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'TRIAL_PHASE','fixedPrice':null,'recurringPrice':null,'usages':null},{'duration':{'unit':null,'count':null,'unlimited':null},'type':'UNLIMITED_PHASE','fixedPrice':null,'recurringPrice':{'AUD':39},'usages':null}],'icon':null,'productId':null,'pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}}],'taxCode':null,'productId':'AU,CFQ7TTC0LCHC,0001','productCloudProviderName':'accounts/11341/cloudProviders/30','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'verticals':null,'disabled':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlans':[{'name':null,'plansId':null,'displayName':null,'default':null}]},{'id':'Dynamics-365-Business-Central-Es','displayName':'Dynamics 365 Business Central Essential f2','description':'DYMC','cancelTiming':'END_OF_TERM','includedAddOns':null,'availableAddOns':null,'features':[{'id':null,'displayName':null,'displayValue':null,'description':null}],'plans':[{'id':'Dynamics-365-Business-Centralpla','displayName':'Dynamics Google product','billingPeriod':'MONTHLY','approvalRequired':null,'phases':[{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'TRIAL_PHASE','fixedPrice':null,'recurringPrice':null,'usages':null},{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'DISCOUNT_PHASE','fixedPrice':null,'recurringPrice':{'AUD':2},'usages':null},{'duration':{'unit':null,'count':null,'unlimited':null},'type':'UNLIMITED_PHASE','fixedPrice':null,'recurringPrice':{'AUD':2},'usages':null}],'icon':null,'productId':'3456666,10001, USD','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}}],'taxCode':null,'productId':null,'productCloudProviderName':'accounts/11341/cloudProviders/30','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'verticals':null,'disabled':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlans':[{'name':null,'plansId':null,'displayName':null,'default':null}]}]","[{'id':'Support--Addons','displayName':'Support  Addons','description':'Billing alignment specifies how the add-on is billed.','alignment':'PURCHASE_DATE','cancelTiming':'END_OF_TERM','allowMultiple':null,'plans':[{'id':'sp-newAddOn-support-plan-m','displayName':'Support Plan Monthly','billingPeriod':'MONTHLY','approvalRequired':null,'phases':[{'duration':{'unit':null,'count':null,'unlimited':null},'type':'UNLIMITED_PHASE','fixedPrice':{'AUD':0},'recurringPrice':{'AUD':1},'usages':null}],'icon':null,'productId':null,'pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}},{'id':'sp-newAddOn-support-plan-q','displayName':'Support Plan Quarterly','billingPeriod':'QUARTERLY','approvalRequired':null,'phases':[{'duration':{'unit':null,'count':null,'unlimited':null},'type':'UNLIMITED_PHASE','fixedPrice':{'AUD':0},'recurringPrice':{'AUD':1},'usages':null}],'icon':null,'productId':null,'pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}},{'id':'sp-newAddOn-support-plan-a','displayName':'Support Plan Annual','billingPeriod':'ANNUAL','approvalRequired':null,'phases':[{'duration':{'unit':null,'count':null,'unlimited':null},'type':'UNLIMITED_PHASE','fixedPrice':{'AUD':0},'recurringPrice':{'AUD':1},'usages':null}],'icon':null,'productId':null,'pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}}],'taxCode':null,'productId':'123456,10001.USD','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'icon':'https://storage.googleapis.com/orbitera-qa-us-data-public/data/accounts/11341/products_v2/Microsoft365/images/20240327-073506-4f3e0901/Screenshot_2024-03-27_130531.png','productCloudProviderName':'accounts/11341/cloudProviders/19','pricebookMasterPrice':null,'pricebookDetails':null}]","[{'name':'vendor','content':'MICROSOFT','type':'STRING','filename':null},{'name':'ProvisioningCategory','content':'NCE','type':'STRING','filename':null},{'name':'OfferDescriptionPromo','content':'Month(s) on us','type':'STRING','filename':null},{'name':'OfferDescriptionRegular','content':'10%','type':'STRING','filename':null},{'name':'enableITGSupportPlan','content':'true','type':'STRING','filename':null},{'name':'basicITGProductRef','content':'ITGSupport','type':'STRING','filename':null},{'name':'basicITGPlanRef','content':'Cloud-Concierge-Basic-Support-n0','type':'STRING','filename':null},{'name':'skip-price-book','content':'true','type':'STRING','filename':null}]","[{'name':null,'plansId':null,'displayName':null,'default':null}]",,MTcxMjkxNDY2OA==,"[{'name':null,'displayName':null,'values':[{'displayName':null,'tagValue':null}]}]",2024-03-19T11:04:14Z,2024-04-12T09:37:48Z
accounts/11341/products/McAfeeMMA20-qa,SUBSCRIPTION_PRODUCT,['accounts/11341/categories/Mcafee'],true,Help to keep your mobiles and computers safe from cyber attacks.,McAfee MMA20,Device security for your business,Logo,https://storage.googleapis.com/orbitera-qa-us-data-public/data/accounts/11341/products_v2/McAfeeMMA20-qa/images/20240320-122001-fb2e576b/mcafee-img.jpg,MEDIA_TYPE_IMAGE,['AUD'],POSTPAY,"[{'id':'Secures-up-to-20-devices---mobil','displayName':'Secures up to 20 devices - mobile, tablets, laptops','displayValue':null,'description':null}]","[{'id':'McAfee-Multiaccess','displayName':'McAfee Multiaccess','description':'McAfee Multiaccess','cancelTiming':'END_OF_TERM','includedAddOns':null,'availableAddOns':null,'features':[{'id':null,'displayName':null,'displayValue':null,'description':null}],'plans':[{'id':'McAfee-Monthly','displayName':'McAfee Monthly','billingPeriod':'MONTHLY','approvalRequired':null,'phases':[{'duration':{'unit':'MONTH','count':2,'unlimited':null},'type':'TRIAL_PHASE','fixedPrice':null,'recurringPrice':null,'usages':null},{'duration':{'unit':'MONTH','count':1,'unlimited':null},'type':'FIXED_PHASE','fixedPrice':null,'recurringPrice':{'AUD':12.99},'usages':null}],'icon':null,'productId':'1551-135476-20dmma','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':{}}],'taxCode':null,'productId':'1551-135476-20dmma','productCloudProviderName':'accounts/11341/cloudProviders/46','pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'verticals':null,'disabled':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlans':[{'name':null,'plansId':null,'displayName':null,'default':null}]}]","[{'id':null,'displayName':null,'description':null,'alignment':null,'cancelTiming':null,'allowMultiple':null,'plans':[{'id':null,'displayName':null,'billingPeriod':null,'approvalRequired':null,'phases':[{'duration':{'unit':null,'count':null,'unlimited':null},'type':null,'fixedPrice':null,'recurringPrice':null,'usages':null}],'icon':null,'productId':null,'pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'pricebookMasterPrice':null,'pricebookDetails':null,'supportPlan':null}],'taxCode':null,'productId':null,'pricebookPrice':null,'pricebookCurrency':null,'productAvailability':null,'alias':null,'icon':null,'productCloudProviderName':null,'pricebookMasterPrice':null,'pricebookDetails':null}]","[{'name':'OfferDescriptionPromo','content':'Month(s) on us','type':'STRING','filename':null},{'name':'OfferDescriptionRegular','content':'10%','type':'STRING','filename':null},{'name':'vendor','content':'MCAFEE','type':'STRING','filename':null},{'name':'ProvisioningCategory','content':'MCAFEE','type':'STRING','filename':null}]","[{'name':null,'plansId':null,'displayName':null,'default':null}]",,MTcxMjkyOTE2OA==,"[{'name':null,'displayName':null,'values':[{'displayName':null,'tagValue':null}]}]",2024-03-20T12:27:43Z,2024-04-12T13:39:28Z
TRAILER,3,,,,,,,,,,,,,,,,,,,,
